Age,Gender,Program,Course,English,Academic,Attendance,6,7,8,9,10,11,12,13,14,15,16,17,Score Range
26-30,M,PM,Science and engineering,60%~70%,50%~59%,S3,Strong Agree,Agree,Neither,Disagree,Agree,Neither,Disagree,Strong Disagree,Neither,Agree,Neither,Disagree,35-45
21-25,M,PM,Law/Legal studies,60%~70%,60%~70%,S0,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neither,Neither,Neither,Neither,Disagree,Agree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S1,Neither,Disagree,Neither,Neither,Disagree,Neither,Neither,Neither,Neither,Disagree,Neither,Agree,35-45
21-25,M,PM,Law/Legal studies,60%~70%,60%~70%,S0,Agree,Neither,Agree,Strong Agree,Disagree,Disagree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Disagree,Strong Agree,35-45
21-25,M,PM,Art and Design,60%~70%,60%~70%,S0,Disagree,Agree,Agree,Neither,Agree,Neither,Neither,Strong Disagree,Disagree,Strong Disagree,Strong Disagree,Neither,45+
21-25,M,PM,Computing,60%~70%,40%~49%,S0,Disagree,Disagree,Strong Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,25-35
21-25,M,PM,Computing,60%~70%,>70%,S0,Strong Disagree,Agree,Agree,Neither,Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Agree,Agree,Strong Disagree,Strong Disagree,45+
21-25,M,PM,Business,60%~70%,>70%,S1,Strong Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,35-45
18-20,M,IYO,Business,60%~70%,50%~59%,S1,Neither,Disagree,Neither,Neither,Strong Agree,Agree,Neither,Disagree,Agree,Agree,Neither,Agree,35-45
18-20,M,IYO,Business,60%~70%,60%~70%,S3,Disagree,Neither,Neither,Neither,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,35-45
18-20,M,IYO,Business,60%~70%,60%~70%,S2,Agree,Agree,Agree,Agree,Neither,Neither,Agree,Neither,Strong Agree,Neither,Agree,Agree,35-45
18-20,M,FC,Business,>70%,60%~70%,S1,Disagree,Agree,Disagree,Agree,Strong Disagree,Disagree,Strong Agree,Strong Disagree,Agree,Neither,Agree,Disagree,25-35
18-20,M,FC,Business,>70%,>70%,S1,Strong Agree,Strong Agree,Agree,Neither,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Neither,Agree,Neither,25-35
<18,M,FC,Computing,>70%,60%~70%,S0,Disagree,Disagree,Neither,Agree,Neither,Strong Disagree,Neither,Agree,Neither,Strong Agree,Neither,Neither,25-35
<18,M,FC,Business,60%~70%,60%~70%,S0,Disagree,Disagree,Agree,Disagree,Strong Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neither,35-45
<18,M,FC,Business,60%~70%,60%~70%,S0,Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,25-35
18-20,M,FC,Social Sciences and Humanities,60%~70%,>70%,S4,Strong Agree,Agree,Strong Agree,Neither,Disagree,Neither,Agree,Disagree,Agree,Disagree,Neither,Neither,35-45
18-20,M,FC,Media and Communications,60%~70%,60%~70%,S0,Disagree,Neither,Neither,Neither,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,35-45
18-20,M,FC,Art and Design,60%~70%,>70%,S0,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strong Disagree,Disagree,Agree,Agree,Disagree,25-35
18-20,M,FC,Business,60%~70%,50%~59%,S3,Agree,Strong Agree,Neither,Agree,Neither,Neither,Disagree,Strong Agree,Neither,Neither,Strong Agree,Disagree,25-35
18-20,M,FC,Business,60%~70%,60%~70%,S2,Neither,Agree,Neither,Agree,Disagree,Agree,Neither,Neither,Strong Disagree,Strong Agree,Neither,Strong Disagree,25-35
<18,M,IYO,Business,60%~70%,50%~59%,S3,Strong Agree,Agree,Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Disagree,Strong Disagree,Agree,Neither,Strong Agree,Strong Disagree,35-45
18-20,M,IYO,Business,60%~70%,50%~59%,S1,Strong Disagree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,35-45
18-20,M,IYO,Business,60%~70%,60%~70%,S2,Neither,Neither,Neither,Neither,Neither,Disagree,Neither,Neither,Neither,Agree,Neither,Neither,35-45
>36,M,Language,Art and Design,50%~59%,50%~59%,S2,Strong Agree,Agree,Agree,Neither,Neither,Neither,Agree,Agree,Neither,Agree,Agree,Strong Agree,25-35
18-20,M,PM,Business,50%~59%,60%~70%,S0,Neither,Agree,Disagree,Neither,Agree,Disagree,Strong Agree,Agree,Disagree,Neither,Agree,Neither,25-35
21-25,M,PM,Computing,50%~59%,60%~70%,S0,Neither,Strong Disagree,Neither,Neither,Neither,Neither,Neither,Strong Disagree,Disagree,Agree,Agree,Agree,25-35
21-25,M,PM,Media and Communications,50%~59%,50%~59%,S1,Disagree,Neither,Agree,Disagree,Neither,Neither,Neither,Neither,Agree,Disagree,Disagree,Agree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S0,Agree,Disagree,Disagree,Strong Disagree,Disagree,Disagree,Neither,Strong Disagree,Disagree,Strong Agree,Disagree,Disagree,25-35
21-25,M,PM,Business,50%~59%,50%~59%,S0,Disagree,Neither,Agree,Disagree,Disagree,Disagree,Disagree,Strong Disagree,Agree,Disagree,Disagree,Neither,45+
26-30,M,PM,Business,50%~59%,50%~59%,S2,Disagree,Agree,Agree,Disagree,Neither,Neither,Neither,Neither,Disagree,Disagree,Agree,Disagree,35-45
31-35,M,PM,Business,50%~59%,50%~59%,S2,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,25-35
21-25,M,PM,Law/Legal studies,60%~70%,60%~70%,S2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,25-35
21-25,M,PM,Business,40%~49%,40%~49%,S3,Neither,Neither,Agree,Neither,Neither,Neither,Neither,Disagree,Agree,Neither,Disagree,Agree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S0,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,35-45
21-25,M,FC,Business,60%~70%,50%~59%,S2,Agree,Agree,Agree,Neither,Disagree,Agree,Neither,Disagree,Disagree,Agree,Agree,Neither,25-35
21-25,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Disagree,Agree,Neither,Strong Disagree,Strong Disagree,Disagree,Disagree,Disagree,Neither,Disagree,Disagree,35-45
21-25,M,PM,Business,50%~59%,40%~49%,S3,Neither,Neither,Neither,Disagree,Agree,Neither,Strong Agree,Neither,Disagree,Neither,Neither,Disagree,25-35
26-30,M,PM,Business,60%~70%,40%~49%,S0,Neither,Agree,Agree,Agree,Strong Agree,Agree,Agree,Disagree,Neither,Neither,Neither,Neither,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S0,Neither,Agree,Disagree,Neither,Agree,Neither,Neither,Agree,Neither,Neither,Agree,Neither,35-45
21-25,M,PM,Business,50%~59%,<40%,S3,Agree,Agree,Neither,Disagree,Neither,Neither,Agree,Neither,Disagree,Neither,Agree,Agree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S1,Agree,Neither,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Disagree,25-35
26-30,M,PM,Business,60%~70%,50%~59%,S1,Agree,Agree,Agree,Agree,Strong Disagree,Disagree,Neither,Strong Disagree,Neither,Neither,Strong Agree,Strong Disagree,25-35
21-25,M,PM,Business,50%~59%,60%~70%,S1,Agree,Neither,Agree,Neither,Disagree,Disagree,Neither,Neither,Agree,Agree,Neither,Agree,35-45
31-35,M,PM,Business,50%~59%,50%~59%,S0,Disagree,Neither,Disagree,Disagree,Neither,Agree,Disagree,Disagree,Agree,Neither,Agree,Neither,35-45
21-25,F,PM,Business,50%~59%,50%~59%,S0,Disagree,Neither,Disagree,Agree,Disagree,Strong Agree,Agree,Strong Disagree,Disagree,Strong Agree,Agree,Disagree,25-35
21-25,F,PM,Law/Legal studies,>70%,>70%,S1,Disagree,Disagree,Neither,Disagree,Disagree,Strong Agree,Agree,Neither,Disagree,Agree,Agree,Disagree,25-35
21-25,F,FC,Law/Legal studies,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Neither,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neither,35-45
26-30,F,PM,Business,50%~59%,50%~59%,S0,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,45+
26-30,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Strong Disagree,Neither,Neither,Agree,Neither,Agree,Strong Disagree,Neither,Strong Agree,Agree,Agree,35-45
<18,F,FC,Law/Legal studies,60%~70%,60%~70%,S1,Strong Disagree,Agree,Neither,Neither,Neither,Neither,Neither,Disagree,Neither,Agree,Agree,Agree,35-45
18-20,F,FC,Social Sciences and Humanities,>70%,60%~70%,S0,Neither,Disagree,Agree,Neither,Agree,Disagree,Strong Agree,Strong Disagree,Neither,Agree,Agree,Disagree,35-45
21-25,F,PM,Computing,60%~70%,60%~70%,S1,Strong Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strong Disagree,Strong Agree,Strong Disagree,Disagree,Disagree,45+
26-30,F,PM,Computing,50%~59%,>70%,S1,Strong Disagree,Neither,Agree,Strong Disagree,Neither,Agree,Disagree,Strong Disagree,Neither,Neither,Disagree,Neither,35-45
18-20,F,FC,Science and engineering,40%~49%,40%~49%,S1,Neither,Disagree,Neither,Agree,Neither,Neither,Neither,Disagree,Disagree,Agree,Agree,Neither,25-35
18-20,F,FC,Science and engineering,60%~70%,60%~70%,S1,Disagree,Disagree,Agree,Agree,Disagree,Strong Agree,Agree,Disagree,Disagree,Disagree,Neither,Disagree,25-35
18-20,F,IYO,Business,>70%,60%~70%,S0,Disagree,Agree,Neither,Disagree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Neither,35-45
18-20,F,IYO,Business,50%~59%,40%~49%,S1,Strong Agree,Strong Disagree,Neither,Strong Disagree,Strong Disagree,Strong Disagree,Strong Agree,Strong Disagree,Strong Disagree,Strong Agree,Strong Agree,Strong Disagree,25-35
18-20,F,IYO,Business,>70%,50%~59%,S2,Strong Agree,Neither,Agree,Agree,Agree,Neither,Agree,Strong Disagree,Neither,Strong Agree,Strong Agree,Agree,25-35
18-20,F,IYO,Business,60%~70%,60%~70%,S1,Agree,Neither,Neither,Neither,Neither,Agree,Agree,Disagree,Neither,Neither,Neither,Neither,25-35
18-20,F,IYO,Business,60%~70%,>70%,S0,Strong Disagree,Agree,Agree,Neither,Agree,Disagree,Disagree,Strong Disagree,Strong Disagree,Neither,Agree,Agree,35-45
18-20,F,IYO,Business,60%~70%,40%~49%,S3,Neither,Disagree,Agree,Agree,Strong Disagree,Agree,Neither,Disagree,Strong Disagree,Strong Agree,Neither,Disagree,25-35
